user_id,leaning,label,no_videos,leaning_avg,user_name,authorstats_following,authorstats_followers,authorstats_heart,authorstats_videos,authorstats_diggs,no_of_hashtags,no_of_unique_hashtags
6643704933617500165,0.0,neutral,1,0.0,13outof10,,,1118,6.0,1260.0,10,9
6643720237940260869,0.0,neutral,1,0.0,giw.theo,27.0,3660.0,477300,52.0,8110.0,5,5
6643723964030795781,0.0,neutral,1,0.0,pumpkinvice,27.0,14.0,2981,52.0,1280.0,1,1
6643763075404333061,-1.0,con,1,-1.0,angelak795,473.0,352.0,3912,167.0,647.0,11,11
6643772538260488197,0.0,neutral,2,0.0,felipejdarquea,302.0,44500.0,1200000,136.0,6161.0,22,11
6643774633718562821,0.0,neutral,1,0.0,booptheimmortaloctoling,1.0,604.0,64800,21.0,783.0,6,6
6643776068145397766,0.0,neutral,1,0.0,wisdom_is_dead,29.0,738.0,205400,3.0,213.0,1,1
6643779266987261957,0.0,neutral,3,0.0,phinorose,89.0,33410.0,8800000,79.0,10590.0,3,1
6643787497912451078,2.0,pro,1,2.0,lmfaoshay,290.0,4364.0,481800,46.0,68900.0,4,4
6643798705315561477,0.0,neutral,1,0.0,.community.guidlines,27.0,41.0,6804,11.0,5590.0,7,7
6643808099953246213,0.0,neutral,1,0.0,odiii_uwu,6.0,1860.0,425500,23.0,2060.0,1,1
6643810131073417222,0.0,neutral,1,0.0,momo_obrien,25.0,22760.0,8600000,62.0,1580.0,1,1
6643822750954749957,0.0,neutral,1,0.0,otrnation,29.0,176.0,8550,5.0,1330.0,8,8
6643826495737987077,1.0,pro,2,0.5,chaoticartic,307.0,60.0,3330,43.0,8730.0,9,5
6643855597661306886,2.5,pro,2,1.25,mamablonde,74.0,3060.0,863200,319.0,8720.0,11,9
6643861334402465797,1.5,pro,1,1.5,mmorrill18,616.0,10600.0,522800,259.0,43900.0,6,6
6643863027102089222,0.0,neutral,1,0.0,toriheartbeat,216.0,22.0,1294,17.0,2800.0,5,5
6643866116782243846,0.5,pro,1,0.5,prince_of_prosperity,86.0,522.0,32400,31.0,960.0,3,3
6643876870977339397,1.0,pro,1,1.0,pansexual_fish,72.0,2.0,173,4.0,1930.0,8,8
6643878580039303174,2.0,pro,2,1.0,trxll.zach,158.0,319200.0,4400000,155.0,38000.0,16,9
6643898790418579461,0.0,neutral,1,0.0,thebergfam,147.0,7250.0,1000000,28.0,4540.0,4,4
6643904085920268294,0.5,pro,1,0.5,here4thecloutt,509.0,30800.0,943300,330.0,56400.0,16,16
6643913676196446213,2.5,pro,1,2.5,whyismyaccountblue,22.0,998.0,261000,176.0,11240.0,6,6
6643916190992400390,0.5,pro,1,0.5,sheaintborntypical,122.0,69.0,5606,4.0,1220.0,7,6
6643936583823720453,0.0,neutral,1,0.0,cmw3ds4,13.0,22.0,3600,,4440.0,1,1
6643938922210590726,1.5,pro,1,1.5,angsty.pugz,26.0,805.0,185700,128.0,5570.0,2,2
6643940383334088710,-1.0,con,1,-1.0,keekmighster,2197.0,6520.0,41600,10.0,2254.0,4,4
6643949877997207558,0.0,neutral,1,0.0,im_a_boss_bitch_,38.0,51.0,3213,14.0,325.0,4,4
6643956812512215046,0.0,neutral,1,0.0,mr.brodiak,101.0,929.0,209400,10.0,5120.0,10,10
6643974624797868038,0.5,pro,1,0.5,__sarahhhjaneee__,207.0,4.0,280,9.0,2420.0,6,6
6643977491307823109,0.0,neutral,1,0.0,archannaguptaa1,3.0,46780.0,2000000,25.0,220.0,4,4
6643997283317858310,0.5,pro,1,0.5,whatamessman,88.0,756.0,55400,24.0,529.0,2,2
6644002651955609605,0.0,neutral,1,0.0,bckwoodsbarbie1,960.0,1010.0,18000,46.0,2670.0,8,8
6644082027333926917,1.0,pro,1,1.0,undead_clairebearxo,379.0,404.0,51300,177.0,6910.0,3,3
6644092212214792198,0.5,pro,1,0.5,irmeedaze,35.0,31.0,2913,9.0,261.0,5,5
6644121787309785094,0.0,neutral,1,0.0,achayo5,28.0,303.0,50100,37.0,1520.0,3,3
6644135533201620998,0.5,pro,1,0.5,goddessoflove369,55.0,2380.0,391500,105.0,1050.0,3,3
6644175781071601670,0.0,neutral,1,0.0,goofygurl44,161.0,218.0,9116,52.0,1270.0,3,3
6644177294163476486,0.0,neutral,1,0.0,airborne771,749.0,159.0,3827,4.0,6830.0,1,1
6644189906484953094,0.0,neutral,1,0.0,raymondaglen,171.0,1150.0,169700,78.0,3210.0,10,9
6644210380456132614,0.0,neutral,2,0.0,mr.leftist,66.0,1890.0,236200,25.0,3510.0,27,17
6644225661815078917,0.0,neutral,2,0.0,creole_au_lait,14.0,13.0,4902,11.0,958.0,7,4
