user_id,no_of_videos,no_of_hashtags,no_of_unique_hashtags
6869062434319500294,1,7,7
6813446976744489990,2,27,14
6844104842697278470,1,2,2
6601862151576797189,1,2,2
6840837994842424325,1,3,3
6810867146446652421,3,6,4
6612019101797842949,1,6,6
6566387690290626565,2,12,10
96379240064999425,1,5,5
6612661549516095493,7,7,1
6794071617564902406,3,17,10
6583469383070236678,1,4,4
6826418999611786246,2,2,1
6669217668988436485,1,7,7
7874535,1,3,3
6645817033215983622,1,1,1
6552335984028046336,3,22,15
6852544101141873670,2,8,4
6840452122477102086,2,5,5
6721723756731499525,1,1,1
6849190589248357381,1,6,6
6781928648788050950,5,14,5
6839362761174123526,1,1,1
6715928204056396805,3,24,14
6727986170150552582,1,8,8
6677616703868404742,1,4,4
6830937770304128006,1,3,3
6779323009872413702,1,2,2
6817231232041878533,3,25,12
6774394334189192197,3,21,13
6642414294384607238,1,5,5
6797156443792835589,2,17,15
6490244265870885897,1,1,1
6668767890236227590,2,11,8
6782773097794143238,1,7,7
6792051385488950277,1,2,2
6756791484538405893,1,3,3
6850755747925361669,1,5,5
6715127598244152325,1,1,1
6832847733733360645,1,8,8
6809101093962122245,1,3,3
6538960232792462351,2,12,9
6567923856476045318,1,4,4
6602897351688732677,3,4,2
6628859042474721285,1,1,1
6629706717491216389,1,2,2
6585337421260701701,1,1,1
6753428470556378117,1,1,1
6873735981754401797,1,1,1
6832355401024078854,1,1,1
6708892819824133126,1,6,6
6791906665987408902,1,1,1
6807930531143255046,1,1,1
6870515768224662534,1,1,1
6788997458451645446,4,6,3
6845019310205731846,1,6,6
6840427907154117638,1,1,1
6588912071953825798,3,3,1
6806078134715663366,2,8,7
6720246061262652422,1,4,4
6804123339159864325,1,3,3
6599624204861489158,1,1,1
6835653317541757957,1,1,1
6747086969614287878,3,4,2
6777901548498093061,1,1,1
6873618079113413637,1,1,1
6797193500221735941,1,1,1
6836417737952150533,1,1,1
6537499920599880704,5,25,8
6749645849763431429,2,2,1
6796098007085663238,2,3,2
6549641589843563520,1,1,1
6856863694191625221,1,1,1
6817617826666644486,1,1,1
19977948,1,1,1
6619766096772333573,1,6,6
6659151546653163525,1,2,2
6715968776947254277,2,15,13
6775929478139069446,1,4,4
6634294272764870662,2,3,2
6656804257927168005,2,9,5
6829827603073090566,2,26,18
6599398311688601605,2,2,1
101118237177724928,1,4,4
6824184062136189957,1,2,2
6589419975935639557,1,1,1
6850468532951565317,1,6,6
6730034700835406854,1,5,5
6800420413648126981,2,11,9
6743919237855937541,1,6,6
6778851536212509702,1,2,2
6868259762561074182,1,1,1
6851808074165535750,1,2,2
6558674662874677254,1,3,3
6844461085081584646,1,7,6
6588174523727855621,1,1,1
6846798216047346693,2,6,4
6851169715404325893,1,10,10
6565772401677713414,1,1,1
6851849704281965573,1,3,3
6615422324139540485,1,1,1
6655473268595671045,1,1,1
6802563125650801670,1,6,6
6610546673771610117,2,2,1
6841696902997492742,1,1,1
6845827333820843013,1,6,6
6722519647852233734,3,8,7
6861411224844878853,1,1,1
6819711042735539205,1,1,1
6850724734365369349,1,1,1
6848633466852410373,1,4,4
23556457,1,6,6
6824709215891686405,2,9,7
6695947324344239110,1,7,7
6851318253248709638,1,3,3
6816888738687206405,1,1,1
6628570835601784837,1,4,4
6681473227070030853,1,1,1
6772420787900515334,2,8,6
6624442267272167430,1,1,1
6838545531753841670,1,2,2
6686637466928022533,1,1,1
6603925209466896390,1,1,1
6679676862345774085,2,2,1
6821419869239460869,1,3,3
6632021001368715270,1,5,5
6774527442309760006,1,1,1
88417043070238720,1,7,7
6594208524455723013,1,11,11
6674767497356510214,1,1,1
6771230648008262661,1,2,2
6777012707435889670,1,1,1
6841219619093611525,1,1,1
6686569409694057477,1,3,3
6652727419747663878,2,2,1
6547086012785366031,1,6,5
6787378339445539846,1,3,3
6632859385701154821,1,3,3
6869172702981161989,1,1,1
6776929289898591238,2,2,1
6855006534542033926,1,1,1
6806868516002087941,1,4,4
6573129063745011717,1,1,1
6829048106043753478,1,1,1
6649210328331501574,1,1,1
6648052352152518661,1,1,1
6807800371786318853,1,1,1
6847635973380424709,1,3,2
6584909796809129990,1,5,5
6575535181495025669,1,1,1
6551895800312501263,1,1,1
6745791955907822598,1,3,3
6568919484882731013,1,3,3
6816852019942622214,1,5,5
6851328416907641861,1,6,6
6855317499714798598,1,1,1
6820213056854590469,2,13,12
6530962877217931273,1,1,1
6631511353419776005,1,5,5
6859118378507895814,1,1,1
6798602819424945158,1,1,1
6852776744103117830,1,4,4
6816498501289018374,1,4,4
6746371194407273477,1,1,1
6823528271922430981,1,1,1
6817835472132391941,1,6,6
6814246260502676485,1,1,1
6811256920675697669,4,13,7
6848321886054302726,2,8,7
6857932306578949126,1,1,1
6637573898483548166,1,4,3
6865513320101184517,1,4,4
6824407203231941637,1,1,1
6830398320642835461,1,3,3
6874634833072276486,1,1,1
6761946803538789382,1,2,2
6624412752390127621,1,1,1
6823199664968926214,1,1,1
6810457660505474054,1,3,3
6877564264456389638,1,1,1
6560708082409717766,1,1,1
6863651784880587781,2,2,1
6515171389324923919,1,1,1
165250435983896576,1,2,2
6827269640864351238,1,4,4
6713027215912649734,1,2,2
6835784843394810885,1,3,3
6621002399773556742,1,1,1
6781213649806803973,1,1,1
6851366769384178694,1,4,4
6667810529828749318,1,1,1
6736972920264344582,1,4,4
6576956153548603398,1,1,1
6762520026647200773,2,4,2
6795710154660086790,1,1,1
6667953250090680325,1,1,1
6865279716442702853,2,5,4
6703719172808999941,1,1,1
6567882783624413190,1,1,1
6693483802259768326,1,5,5
6650600173187874821,1,2,2
6831567862432498693,2,2,1
6848311071784436742,1,2,2
6837076904035042309,1,1,1
6643192435822395397,1,1,1
6695552177740547077,1,1,1
6841910922145367046,1,5,5
6836647455712412678,1,1,1
6569544761954385925,1,4,4
6809467059040519173,2,2,2
6614166641494786053,1,3,3
6768892768556467205,1,6,6
6822429757566354437,1,1,1
6829358770176148486,1,10,10
6842097993525543941,1,1,1
6808307103603295238,2,2,1
6795664821889238021,1,3,3
6707000225477755909,2,2,1
6804523354105267205,1,1,1
6578691974139461638,1,1,1
6840806257831920645,1,1,1
6823339155146474501,1,1,1
6783532846349190150,1,3,3
6759572139483972614,1,1,1
6811710125176243205,1,1,1
6797349496655660034,1,1,1
6800702514582324229,1,1,1
6843989639940293638,1,2,2
6591598940242624517,1,1,1
6819426389734933509,2,7,6
6532024351670157314,1,1,1
6692820690519606278,1,1,1
6668283935204098054,1,1,1
6707953086608114693,1,1,1
6812294088503854086,1,2,2
212862968366358528,2,2,1
6728759113243624454,1,1,1
6847985251723183110,1,6,5
6787797547774100486,1,1,1
6817924997265982470,1,1,1
6813223304012416006,1,1,1
6745766852083418117,1,1,1
6758494632537244678,1,7,7
6850547803375207430,1,1,1
6823533499066369030,1,5,5
6854267312690709510,1,3,3
6857318609946706949,1,2,2
6675067775691785221,1,1,1
6783234999694296070,1,5,5
116734878678654976,5,7,2
6573114328122736645,1,1,1
6836420307810206726,2,6,4
