video_id,stats_likes,stats_shares,stats_comments,stats_plays,video_length,nr_hashtags,nr_tags,leaning_new,label_new
6873934731302538502,70.0,,2.0,212.0,1.0,6,1,0.0,neutral
6861995953428122886,70.0,,20.0,937.0,1.0,6,1,-0.5,con
6863168655337835782,66.0,,15.0,410.0,1.0,7,1,-0.5,con
6840010353988865285,65.0,,6.0,252.0,1.0,2,1,0.0,neutral
6859871199120329989,63.0,,4.0,313.0,1.0,1,1,0.0,neutral
6862479904269667590,62.0,,8.0,1030.0,1.0,5,1,-0.5,con
6851246325288275206,61.0,,6.0,379.0,1.0,7,1,0.0,neutral
6856114154546154757,59.0,,8.0,362.0,1.0,7,1,0.0,neutral
6866928036890152198,59.0,,10.0,619.0,1.0,1,1,0.0,neutral
6876582917699685638,58.0,,1.0,312.0,1.0,7,1,0.0,neutral
6861784490402958598,57.0,,24.0,1230.0,1.0,7,1,0.0,neutral
6861077866558328070,57.0,,1.0,568.0,1.0,4,1,0.0,neutral
6856192375623044358,55.0,,8.0,213.0,1.0,1,1,0.0,neutral
6869541728718687493,50.0,,5.0,333.0,1.0,6,1,-0.5,con
6862315082836167942,49.0,,4.0,579.0,1.0,1,1,0.0,neutral
6856279537509092613,48.0,,3.0,163.0,1.0,10,1,-0.5,con
6856862401569066245,47.0,,10.0,1320.0,1.0,2,1,0.0,neutral
6858305954350501126,45.0,,4.0,248.0,1.0,1,0,0.0,neutral
6860719395887451398,45.0,,3.0,532.0,1.0,1,1,0.0,neutral
6843038900026461445,44.0,,4.0,236.0,1.0,1,1,0.0,neutral
6857770512471313669,43.0,,4.0,507.0,1.0,1,1,0.0,neutral
6859103788943297797,43.0,,10.0,394.0,1.0,4,1,-0.5,con
6860598441379122438,42.0,,1.0,74.0,1.0,1,1,0.0,neutral
6864606746271304966,42.0,,,233.0,1.0,1,1,0.0,neutral
6848387555671411973,41.0,,3.0,143.0,1.0,2,0,-0.5,con
6860857605682760965,40.0,,6.0,292.0,1.0,10,1,0.0,neutral
6865091732451740933,40.0,,,196.0,1.0,7,1,0.0,neutral
6861098006171733253,39.0,,,517.0,1.0,2,1,-0.5,con
6859853315396701445,38.0,,17.0,608.0,1.0,7,1,0.0,neutral
6890734931601919237,38.0,,2.0,137.0,1.0,1,1,0.0,neutral
6858785779984911621,38.0,,3.0,163.0,1.0,10,1,-0.5,con
6853161229154913542,38.0,,2.0,143.0,1.0,6,1,0.0,neutral
6863118465352420614,37.0,,32.0,310.0,1.0,7,1,-0.5,con
6857242356098338053,37.0,,1.0,186.0,1.0,4,1,0.0,neutral
6858289261909757189,37.0,,10.0,185.0,1.0,1,1,0.0,neutral
6855878653180448005,36.0,,1.0,165.0,1.0,1,1,0.0,neutral
