video_id,nr_hashtags
6886690646409727237,7
6882170869519486214,11
6873831269386554630,1
6873286569260748037,2
6886600092514520326,1
6884243614499753221,1
6881461062349196549,3
6873823673137057030,1
6872905602583121157,2
6874614551200025861,6
6872790807334653189,3
6890005886941613318,3
6886843477888355590,1
6873197677388041478,1
6876938632104578309,1
6874402402133380358,4
6874006999667920134,1
6873536968639188229,1
6885565958157569285,1
6874490976124046597,1
6873361604176628997,1
6874163602807475461,3
6873175841048710406,5
6886512386220592390,1
6873955245827886341,1
6873845582587284741,3
6872994046646734086,3
6872801810768219397,5
6885175569009495301,6
6873934886403689734,1
6873541507698232582,12
6873499161942330630,1
6874554120821427461,5
6887152877895224582,1
6886572978901961990,1
6876129246876601606,4
6873426726232378629,4
6872796709487938822,1
6887561806445907206,1
6872497243228753157,6
6872832463022869765,1
6891008319092296965,4
6882210173600025861,3
6881449473881443590,1
6875319942472944901,4
6873216196833987845,4
6873212441115806981,1
6890936344449666310,3
6881344767347756294,1
6874716489589476613,2
6874690258924047622,1
6874603766037925126,1
6874202707075288326,3
6873404662884732166,1
6887957446216666374,1
6873569563410238725,1
6881498498139835654,1
6881373035622878469,1
6875977518827031814,2
6887947675459767557,4
6884010767335640325,2
6876682592591072517,3
6874606508156521733,1
6873176634606914822,1
6886829600446369030,4
6877921105731013893,1
6876157197601033478,4
6874258291464146181,1
6873612376118250758,2
6872950440179371269,1
6872535463912131846,1
6888778186058927365,4
6881748701946170629,1
6876553256072449285,1
6876167705091656966,5
6874009581584993541,2
6873875326691233030,1
6873184294030888198,2
6872677411972992261,1
6887342137550130437,1
6876190413137415429,1
6875309537134382341,5
6874403611535740165,1
6874036068329606405,4
6873595398024383750,1
6872874598241750277,3
6872811278474153221,6
6887362722141359366,1
6886908506037914886,10
6877323318421228806,1
6874971137906904326,1
6874627143532383493,3
6874123776842370309,1
6873987440407891205,1
6873456437486554374,1
6872866275312422149,1
6886898742834875653,1
6885525733293182213,3
6880203250923015425,1
6875300865507347717,1
6875168889676909830,1
6874625605426597125,1
6873318106207358213,2
6889998677016857862,1
6886649660249836806,1
6885606624552144134,1
6876918832687107334,1
6876291809866239238,1
6875264989792357638,1
6874995073617005830,2
6873963693336530181,1
6873593366576172294,1
6872884335914028294,6
6886834768995011846,1
6885478419203624197,1
6874556413134327045,1
6874459812160081157,1
6874378197924990213,2
6874146819337735429,1
6874007998159785222,7
6873530049115573509,1
6873508062980771078,5
6873168689299033350,3
6872920774139858181,2
6872752823893904646,1
6872746503157419270,5
6879474991314849030,1
6875487109101145350,1
6875397851007028485,3
6874971404324949253,1
6874373523909905669,1
6873921379746532614,1
6873881557304708357,1
6873466235233766661,1
6872958852707519749,1
6872930250909699334,1
6872899697892265221,1
6883306196661587205,1
6876587970430848262,1
6876451053802507525,1
6875105461641776390,1
6874619609455021317,1
6874223313795714310,1
6873898982364564741,1
6873850823026281734,2
6873696328820559110,1
6873628739838725382,11
6873328883270274310,1
6873270732068113669,1
6873005890480459014,1
6872851254020705541,1
6872840663868787973,4
6872835485094513926,1
6889941374238543109,3
6888529240598269189,1
6887979463842303238,1
6887935557159210245,1
6887325947633224966,1
6886829783871687942,1
6878935934344154373,1
6878088887412002053,1
6877714970977602822,1
6875303541368425733,1
6874647038835870982,2
6874337073483074821,1
6873267505515744517,1
6873005570950057222,1
6889822611224743174,1
6886837560170007813,1
6886833741080104197,1
6883086770263575813,1
6877173301827931397,1
6874603691492510982,1
6874593919062134021,2
6874330754852146438,2
6874326753188252933,1
6874234826912713989,3
6873438477011275014,1
6872797169695395078,1
6888990684229979398,1
6887617117965815046,5
6887556968836353286,1
6886857547135880454,1
6885238896662170886,1
6876774714690325766,1
6875766624603983109,1
6874303755446258949,1
6874239663792475398,4
6873534680436722950,1
6873447170201193733,2
6872946721199115526,1
6872638853061152005,1
6872503021117459718,7
6887032601173855494,6
6886841491608702213,1
6877875628884937989,1
6876122268787838213,1
6875233500971257094,1
6874536313035492613,1
6874171238932073733,1
6873667450190318853,1
6873614757866376454,1
6873613091423210758,3
6873447011463564550,1
6873198479531871493,1
6873175498864839941,3
6873154785231555845,1
6873085958972116229,1
6872884681877081349,1
6886317744858418437,1
6885452050402954501,1
6883924445690334470,1
6879246858422684934,1
6878261122462485765,3
6876917322200665350,1
6876750123179805957,1
6876545309380529414,1
6873669432032464133,3
6873643268433792262,1
6872969245895003398,1
6891050487349595398,2
6887940487739673862,1
6887740725149060357,1
6884645204909886726,1
6880131626714647813,1
6876950918911347973,1
6875883104964234502,1
6874450240661982469,1
6874083757150719237,2
6890362969490820357,5
6878975379659345157,1
6876931959436692741,2
6875399072044436741,1
6875266548253166853,1
6874066070727036166,1
6873305036496129286,1
6885482010673024262,1
6884066127509589253,1
6880486929146629381,1
6880027147306618117,1
6877385305465294085,1
6876856816068775174,1
6875467505666706694,2
6874429460473580805,1
6873006100849937669,1
6890791526348115206,3
6890207154280697094,1
6889047082745744646,1
6889040596707659014,1
6882432970515320069,1
